//gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,time
-0.002528,0.000459,-0.002373,-0.047907,-0.045057,0.977282,39486.325418
-0.001462,0.000459,-0.003439,-0.043970,-0.030133,0.997149,39486.330409
0.001733,-0.001672,0.001888,-0.020441,0.027911,1.020312,39486.335417
-0.004658,0.000459,0.006149,-0.005243,0.057666,1.009418,39486.340403
0.003864,-0.000607,-0.001308,-0.015405,0.019763,0.984240,39486.345426
0.001733,0.000459,-0.003439,-0.037287,-0.038373,0.980670,39486.350399
-0.000397,0.003654,-0.008765,-0.049005,-0.045697,1.004748,39486.355415
-0.001462,0.000459,0.001888,-0.035913,0.008960,1.011157,39486.360403
0.001733,-0.004868,0.005083,-0.004785,0.052996,0.998248,39486.365412
0.001733,-0.002737,0.005083,-0.002222,0.039172,0.989917,39486.370405
0.003864,0.002589,-0.000243,-0.027948,-0.027570,0.987536,39486.375417
-0.003593,-0.000607,-0.006634,-0.048822,-0.046430,0.988452,39486.380404
-0.001462,-0.003803,0.004018,-0.043512,-0.007611,0.998980,39486.385416
0.000668,-0.000607,0.006149,-0.012567,0.046954,1.003741,39486.390404
0.000668,-0.002737,0.004018,0.002264,0.049975,1.007037,39486.395423
0.000668,-0.000607,0.000822,-0.026117,-0.001386,0.989093,39486.400401
-0.001462,0.000459,0.000822,-0.051752,-0.044233,0.983416,39486.405422
-0.000397,-0.000607,-0.006634,-0.043054,-0.021070,0.989001,39486.410401
0.002799,0.000459,0.000822,-0.018427,0.031115,1.016192,39486.415419
0.001733,-0.000607,0.002953,0.002356,0.058123,1.002276,39486.420407
0.002799,-0.002737,0.001888,-0.017420,0.007953,0.983050,39486.425419
0.002799,0.002589,0.001888,-0.038568,-0.044782,0.968860,39486.430420
-0.000397,0.002589,-0.007700,-0.045252,-0.040662,1.000079,39486.435394
-0.003593,0.002589,0.001888,-0.030969,0.020312,1.013995,39486.440431
-0.000397,-0.002737,0.002953,-0.010736,0.052539,1.003741,39486.444420
-0.000397,-0.002737,0.002953,-0.007532,0.029101,0.985248,39486.449391
-0.002528,-0.000607,0.005083,-0.007532,0.029101,0.985248,39486.450437
0.003864,0.002589,-0.000243,-0.026666,-0.030683,0.983783,39486.454407
0.003864,0.002589,-0.000243,-0.048364,-0.043134,0.996325,39486.459389
-0.002528,0.002589,-0.002373,-0.048364,-0.043134,0.996325,39486.460439
0.000668,0.002589,-0.005569,-0.044977,0.001544,1.001544,39486.464408
0.001733,-0.002737,0.005083,-0.009821,0.050525,0.992572,39486.469391
-0.000397,-0.002737,0.002953,0.006293,0.044757,0.993762,39486.474408
-0.001462,0.001524,0.001888,-0.028131,-0.014295,0.992846,39486.479392
-0.001462,-0.000607,0.004018,-0.054315,-0.048444,0.977557,39486.484408
-0.003593,0.000459,-0.005569,-0.051660,-0.019147,0.986804,39486.489386
-0.001462,-0.000607,-0.000243,-0.016046,0.033587,1.008502,39486.494414
0.000668,-0.001672,-0.002373,0.006750,0.052081,1.005847,39486.499388
-0.000397,0.001524,0.006149,-0.019342,0.005755,0.985705,39486.504418
-0.001462,-0.001672,-0.005569,-0.045801,-0.043592,0.973712,39486.509391
0.000668,0.003654,-0.002373,-0.039667,-0.031964,0.995868,39486.514412
0.000668,0.002589,0.001888,-0.014398,0.027636,1.017749,39486.519389
0.003864,-0.000607,-0.001308,-0.002863,0.055560,1.008868,39486.524404
0.003864,-0.003803,0.004018,-0.014856,0.018664,0.982409,39486.529385
0.002799,0.002589,0.002953,-0.035730,-0.037732,0.971881,39486.534414
-0.003593,0.001524,-0.003439,-0.043604,-0.046155,0.995776,39486.539387
0.001733,0.003654,-0.003439,-0.030969,0.004290,1.017932,39486.544414
-0.002528,-0.001672,-0.004504,-0.009455,0.050433,1.006579,39486.549386
0.001733,-0.002737,-0.000243,-0.003229,0.032672,0.991931,39486.554388
0.000668,-0.002737,0.006149,-0.025202,-0.018598,0.990008,39486.559421
0.002799,0.002589,-0.001308,-0.046808,-0.046430,0.985980,39486.564383
0.000668,-0.000607,-0.004504,-0.044794,-0.009900,0.996966,39486.569415
-0.001462,-0.001672,-0.003439,-0.013483,0.048053,0.998431,39486.574383
0.001733,-0.000607,-0.001308,0.007391,0.049701,1.004748,39486.579411
0.002799,-0.000607,0.006149,-0.019342,-0.001752,0.993487,39486.584384
0.004929,-0.002737,0.006149,-0.052027,-0.049543,0.982043,39486.589415
-0.000397,0.002589,-0.004504,-0.048273,-0.026197,0.988269,39486.594393
-0.002528,0.004720,-0.007700,-0.019983,0.031573,1.005847,39486.599418
-0.000397,0.002589,-0.002373,0.003180,0.060504,1.007495,39486.604385
0.002799,-0.001672,0.001888,-0.014215,0.015643,0.992389,39486.609416
-0.000397,0.001524,0.004018,-0.038934,-0.041394,0.973529,39486.614384
